"DTI_CL_ANO","Año","DTI_CL_CUT_2010","Región Provincia Comuna","Value","Flag Codes","Flags"
"2012","2012","06101","Rancagua",142017.17503,,
"2012","2012","06301","San Fernando",36054.45707,,
"2012","2012","07101","Talca",135444.80741,,
"2012","2012","07301","Curicó",39581.37493,,
"2012","2012","07401","Linares",24329.18195,,
"2012","2012","08101","Concepción",203881.4684,,
"2012","2012","08102","Coronel",138496.5665,,
"2012","2012","08103","Chiguayante",69355.28947,,
"2012","2012","08105","Hualqui",6737.352,,
"2012","2012","08106","Lota",15290.89096,,
"2012","2012","08107","Penco",55354.6219,,
"2012","2012","08108","San Pedro de la Paz",143689.04104,,
"2012","2012","08110","Talcahuano",150641.25337,,
"2012","2012","08111","Tomé",24783.1832,,
"2012","2012","08112","Hualpén",68382.93013,,
"2012","2012","08301","Los Ángeles",100497.5647,,
"2012","2012","08401","Chillán",103896.4538,,
"2012","2012","09101","Temuco",143306.21673,,
"2012","2012","09112","Padre Las Casas",9018.4096,,
"2012","2012","09201","Angol",12262.34257,,
"2012","2012","14101","Valdivia",69609.37279,,
"2012","2012","10101","Puerto Montt",142719.26595,,
"2012","2012","10301","Osorno",55437.36633,,
"2012","2012","11101","Coyhaique",38461.5221599,,
"2012","2012","12101","Punta Arenas",52620.45209,,
"2012","2012","13101","Santiago",484126.13299,,
"2012","2012","13102","Cerrillos",166300.5132,,
"2012","2012","13103","Cerro Navia",32707.95677,,
"2012","2012","13104","Conchalí",85732.69574,,
"2012","2012","13105","El Bosque",81030.63326,,
"2012","2012","13106","Estación Central",133356.7171,,
"2012","2012","13107","Huechuraba",112064.3868,,
"2012","2012","13108","Independencia",100908.06682,,
"2012","2012","13109","La Cisterna",146034.59729,,
"2012","2012","13110","La Florida",287002.72944,,
"2012","2012","13111","La Granja",134695.5788,,
"2012","2012","13112","La Pintana",155478.48099,,
"2012","2012","13113","La Reina",114973.5356,,
"2012","2012","13114","Las Condes",337236.47333,,
"2012","2012","13115","Lo Barnechea",87105.01749,,
"2012","2012","13116","Lo Espejo",92169.38608,,
"2012","2012","13117","Lo Prado",43418.96286,,
"2012","2012","13118","Macul",171001.86644,,
"2012","2012","13119","Maipú",343743.12319,,
"2012","2012","13120","Ñuñoa",253989.64658,,
"2012","2012","13121","Pedro Aguirre Cerda",78370.90851,,
"2012","2012","13122","Peñalolén",169743.18049,,
"2012","2012","13123","Providencia",320806.84086,,
"2012","2012","13124","Pudahuel",126538.23494,,
"2012","2012","13125","Quilicura",191848.04741,,
"2012","2012","13126","Quinta Normal",110177.34715,,
"2012","2012","13127","Recoleta",113919.64511,,
"2012","2012","13128","Renca",167848.98902,,
"2012","2012","13129","San Joaquín",90279.85505,,
"2012","2012","13130","San Miguel",121992.23619,,
"2012","2012","13131","San Ramón",71148.39563,,
"2012","2012","13132","Vitacura",206216.24912,,
"2012","2012","13201","Puente Alto",247269.90629,,
"2012","2012","13301","Colina",148849.29568,,
"2012","2012","13302","Lampa",93872.15505,,
"2012","2012","13303","Tiltil",598.58935,,
"2012","2012","13401","San Bernardo",461272.43681,,
"2013","2013","15101","Arica",100033.99081,,
"2013","2013","01101","Iquique",138309.40005,,
"2013","2013","02101","Antofagasta",269952.34977,,
"2013","2013","02201","Calama",85720.55553,,
"2013","2013","03101","Copiapó",123975.68425,,
"2013","2013","04101","La Serena",250671.88459,,
"2013","2013","04102","Coquimbo",189816.59688,,
"2013","2013","04301","Ovalle",27798.8452,,
"2013","2013","05101","Valparaíso",193046.11706,,
"2013","2013","05103","Concón",44712.50285,,
"2013","2013","05109","Viña del Mar",338518.62419,,
"2013","2013","05301","Los Andes",49039.84272604,,
"2013","2013","05601","San Antonio",68690.677187822,,
"2013","2013","05701","San Felipe",40684.115777519,,
"2013","2013","05801","Quilpué",94925.5589,,
"2013","2013","05804","Villa Alemana",25745.17009,,
"2013","2013","06101","Rancagua",157265.64265,,
"2013","2013","06301","San Fernando",41987.12222564,,
"2013","2013","07101","Talca",164519.05792,,
"2013","2013","07301","Curicó",38773.3051,,
"2013","2013","07401","Linares",26092.65162,,
"2013","2013","08101","Concepción",215799.968910002,,
"2013","2013","08102","Coronel",146714.380770001,,
"2013","2013","08103","Chiguayante",73392.4380400006,,
"2013","2013","08105","Hualqui",6645.5641500001,,
"2013","2013","08106","Lota",15741.54425,,
"2013","2013","08107","Penco",59440.5735100003,,
"2013","2013","08108","San Pedro de la Paz",152916.464200001,,
"2013","2013","08110","Talcahuano",175676.879370001,,
"2013","2013","08111","Tomé",26670.1386800002,,
"2013","2013","08112","Hualpén",67675.9561200006,,
"2013","2013","08301","Los Ángeles",114656.81707,,
"2013","2013","08401","Chillán",107679.86252,,
"2013","2013","09101","Temuco",153417.66001,,
"2013","2013","09112","Padre Las Casas",9504.45298,,
"2013","2013","09201","Angol",16557.76346,,
"2013","2013","14101","Valdivia",66404.59169,,
"2013","2013","10101","Puerto Montt",137732.43626,,
"2013","2013","10301","Osorno",34974.60684,,
"2013","2013","11101","Coyhaique",44790.26348324,,
"2013","2013","12101","Punta Arenas",56386.88471,,
"2013","2013","13101","Santiago",522352.584074139,,
"2013","2013","13102","Cerrillos",193682.508736202,,
"2013","2013","13103","Cerro Navia",37359.9513199791,,
"2013","2013","13104","Conchalí",115533.353518497,,
"2013","2013","13105","El Bosque",89198.0233039168,,
"2013","2013","13106","Estación Central",156836.659476756,,
"2013","2013","13107","Huechuraba",133382.977348781,,
"2013","2013","13108","Independencia",114398.424144306,,
"2013","2013","13109","La Cisterna",168169.41415032,,
"2013","2013","13110","La Florida",274442.082842531,,
"2013","2013","13111","La Granja",160816.031861479,,
"2013","2013","13112","La Pintana",177856.526898025,,
"2013","2013","13113","La Reina",108448.683994239,,
"2013","2013","13114","Las Condes",361309.109474159,,
"2013","2013","13115","Lo Barnechea",95460.9892272455,,
"2013","2013","13116","Lo Espejo",103947.753744137,,
"2013","2013","13117","Lo Prado",48354.5414476631,,
"2013","2013","13118","Macul",189326.546775258,,
"2013","2013","13119","Maipú",414331.135899904,,
"2013","2013","13120","Ñuñoa",277245.53163064,,
"2013","2013","13121","Pedro Aguirre Cerda",79078.7054150955,,
"2013","2013","13122","Peñalolén",181872.183733054,,
"2013","2013","13123","Providencia",343901.372506024,,
"2013","2013","13124","Pudahuel",156797.209038534,,
"2013","2013","13125","Quilicura",258938.22574285,,
"2013","2013","13126","Quinta Normal",130227.979815262,,
"2013","2013","13127","Recoleta",139679.892243907,,
"2013","2013","13128","Renca",209227.419640511,,
"2013","2013","13129","San Joaquín",100331.984982987,,
"2013","2013","13130","San Miguel",120059.664454052,,
"2013","2013","13131","San Ramón",87878.7438260557,,
"2013","2013","13132","Vitacura",217214.187193166,,
"2013","2013","13201","Puente Alto",280734.829488008,,
"2013","2013","13301","Colina",179416.550676476,,
"2013","2013","13302","Lampa",122861.26493264,,
"2013","2013","13303","Tiltil",613.5710410763,,
